step	depth	row	col	cands	cs	val
122	18	4	3	1	47	7
123	13	9	8	1	27	9
124	14	2	5	2	43	9
125	15	6	4	1	29	9
126	18	3	6	2	42	8
127	19	2	3	1	41	8
128	20	4	3	2	48	2
129	21	3	3	1	27	7
130	20	4	3	1	48	7
131	21	3	3	1	28	2
132	18	2	6	1	27	8
133	19	3	4	2	41	2
134	20	2	2	1	42	3
135	19	3	4	1	41	4
136	20	2	3	1	41	7
137	21	3	2	1	42	8
138	23	4	5	1	42	2
139	26	1	4	1	29	1
140	29	4	6	1	42	5
141	14	2	6	1	27	9
142	15	2	5	2	43	7
143	16	2	3	1	41	8
144	21	4	3	2	48	2
145	21	4	3	1	49	7
146	15	2	5	1	43	8
147	16	2	2	1	43	3
148	17	1	1	1	42	6
149	18	2	4	1	42	6
150	21	4	3	1	50	1
151	12	6	2	1	42	9
152	13	3	2	2	42	2
153	14	2	2	2	43	3
154	15	1	1	1	42	6
155	16	8	2	2	44	1
156	17	8	8	2	42	2
157	17	8	8	1	43	5
158	18	8	9	1	42	3
159	21	4	3	1	51	2
160	28	5	2	1	44	6
161	31	4	5	1	42	1
162	32	1	4	1	29	1
163	33	5	7	1	42	2
164	16	8	2	1	44	4
165	17	9	3	1	44	6
166	14	2	2	1	43	6
167	15	1	1	1	42	3
168	16	9	1	2	42	2
169	17	2	5	2	43	8
170	17	2	5	1	44	9
171	18	8	6	1	27	9
172	20	1	5	2	42	2
173	21	2	4	1	42	7
174	24	2	3	1	41	8
175	26	5	6	2	41	1
176	27	4	5	1	42	3
177	34	9	7	1	41	3
178	26	5	6	1	41	2
179	27	4	5	1	42	1
180	30	3	5	1	27	4
181	20	1	5	1	42	6
182	21	2	4	1	42	3
183	22	2	3	2	41	7
184	23	2	6	1	27	8
185	26	4	5	2	42	1
186	27	5	6	1	41	2
187	28	8	4	1	27	1
188	31	9	7	1	42	1
189	26	4	5	1	42	2
190	27	5	6	1	41	1
191	28	8	4	1	27	2
192	22	2	3	1	41	8
193	23	2	6	1	27	7
194	26	3	4	2	41	4
195	27	3	5	1	28	5
196	28	4	5	2	42	1
197	29	5	6	1	41	3
198	30	7	2	1	42	7
199	28	4	5	1	42	3
200	29	5	6	1	41	1
201	26	3	4	1	41	5
202	27	3	5	1	28	4
203	28	4	5	2	42	1
204	29	5	6	1	42	2
205	30	1	4	1	29	2
206	33	9	4	1	42	8
207	28	4	5	1	42	2
208	29	5	6	1	42	1
209	30	1	4	1	29	1
210	16	9	1	1	42	5
211	17	9	3	1	45	6
212	19	8	1	1	42	2
213	21	7	2	1	43	8
214	13	3	2	1	42	7
215	14	4	2	1	42	8
216	16	8	1	1	42	8
217	18	9	2	1	45	1
218	25	9	4	1	43	8
219	31	1	6	1	27	1
220	11	7	2	1	44	9
221	12	3	2	2	42	2
222	13	2	2	2	43	3
223	14	8	1	1	42	7
224	13	2	2	1	43	6
225	14	8	1	1	43	7
226	17	9	2	1	45	1
227	12	3	2	1	42	7
228	13	7	1	1	43	8
229	16	3	3	1	29	2
230	17	2	3	1	41	8
231	18	4	5	2	42	2
232	19	3	4	1	41	5
233	21	3	6	1	42	8
234	22	3	5	1	28	4
235	23	2	5	2	44	7
236	24	2	6	1	27	9
237	27	2	2	1	43	3
238	29	9	2	2	46	1
239	29	9	2	1	47	6
240	30	6	2	1	42	4
241	23	2	5	1	44	9
242	24	2	6	1	27	7
243	27	6	2	1	43	6
244	18	4	5	1	42	3
245	19	3	4	1	41	4
246	21	2	5	2	44	7
247	22	2	6	1	27	9
248	25	2	2	1	43	3
249	27	9	2	2	47	1
250	27	9	2	1	48	6
251	21	2	5	1	44	9
252	22	8	6	1	27	9
253	24	6	2	1	44	6
254	27	1	6	1	28	3
255	7	1	2	2	42	6
256	8	2	1	1	42	4
257	7	1	2	1	42	9
258	8	2	2	2	43	3
259	9	1	3	1	42	5
260	12	3	1	1	42	1
261	15	2	5	1	44	7
262	18	4	5	1	42	1
263	21	3	2	1	42	4
264	22	3	3	1	29	7
265	23	9	2	2	49	1
266	24	9	4	1	43	9
267	25	9	7	1	43	3
268	28	8	2	1	44	2
269	23	9	2	1	49	2
270	24	3	6	2	42	5
271	25	3	5	1	28	8
272	29	4	2	1	42	7
273	24	3	6	1	42	8
274	25	3	5	1	28	5
275	26	9	6	2	41	1
276	27	9	4	1	43	8
277	26	9	6	1	41	4
278	8	2	2	1	43	4
279	5	1	8	1	42	5
280	6	2	7	1	42	4
281	7	3	1	3	42	1
282	8	1	3	1	42	9
283	9	2	1	2	43	3
284	10	1	2	1	42	4
285	11	1	1	1	42	2
286	14	3	4	1	41	2
287	15	2	5	2	44	8
288	16	1	5	1	42	3
289	19	5	6	1	42	3
290	21	3	2	1	42	5
291	22	3	3	1	29	8
292	23	4	3	2	51	3
293	24	4	2	1	43	8
294	25	9	3	2	45	5
295	25	9	3	1	46	7
296	26	8	5	1	27	9
297	28	9	5	1	41	2
298	23	4	3	1	51	4
299	24	4	2	1	43	9
300	25	7	1	1	43	9
301	15	2	5	1	44	9
302	16	1	5	1	42	1
303	20	4	5	1	42	3
304	9	2	1	1	43	5
305	10	1	2	1	42	6
306	11	1	1	1	42	2
307	7	3	1	2	42	2
308	8	2	1	1	43	7
309	10	2	2	2	44	3
310	11	1	1	1	43	1
311	15	2	5	1	44	8
312	20	2	6	1	27	9
313	21	3	6	2	42	4
314	22	3	5	1	28	7
315	23	4	5	2	43	2
316	24	5	6	1	42	3
317	23	4	5	1	43	4
318	24	5	6	1	43	1
319	25	5	7	1	43	2
320	27	6	3	1	42	2
321	34	5	9	1	27	8
322	21	3	6	1	42	7
323	22	3	5	1	28	4
324	23	4	5	2	43	1
325	24	5	6	1	43	4
326	25	4	3	2	51	2
327	26	4	2	1	43	7
328	27	5	7	2	43	1
329	27	5	7	1	44	2
330	28	4	6	1	43	5
331	29	8	4	1	28	4
332	30	9	2	2	49	1
333	31	6	2	1	44	8
334	30	9	2	1	49	2
335	31	9	4	1	44	9
336	32	9	5	1	42	5
337	25	4	3	1	51	3
338	26	4	2	1	43	8
339	27	6	4	1	29	8
340	28	7	2	2	44	4
